Offspring ID	Loci typed	Mother ID	Loci typed	Pair loci compared	Pair loci mismatching	Pair LOD score	Candidate father ID	Loci typed	Pair loci compared	Pair loci mismatching	Pair LOD score	Pair Delta	Pair confidence	Trio loci compared	Trio loci mismatching	Trio LOD score	Trio Delta	Trio confidence
126F-20	754	18BLA126	765	748	0	77.77390	18BLA111	747	735	6	-50.55768	0.00000		730	42	-215.95838	0.00000	
126F-23	725	18BLA126	765	719	0	86.60617	18BLA112	756	714	3	61.54556	132.44579	***	708	17	-42.97984	202.39139	***
126F-23	725	18BLA126	765	719	0	86.60617	18BLA111	747	710	16	-70.90023	0.00000		705	46	-245.37123	0.00000	
126F-26	758	18BLA126	765	750	0	93.29659	18BLA112	756	742	1	84.38121	134.56258	***	734	16	-20.84755	213.82903	***
126F-26	758	18BLA126	765	750	0	93.29659	18BLA111	747	733	8	-50.18138	0.00000		726	48	-234.67657	0.00000	
126F-34	761	18BLA126	765	753	0	84.50148	18BLA111	747	736	0	108.60341	185.02955	***	729	14	-37.89928	257.69675	***
126F-34	761	18BLA126	765	753	0	84.50148	18BLA112	756	744	15	-76.42615	0.00000		736	63	-295.59603	0.00000	
126F-36	767	18BLA126	765	759	0	80.91933	18BLA112	756	750	1	83.24743	144.93443	***	742	19	-7.27644	225.13662	***
126F-36	767	18BLA126	765	759	0	80.91933	18BLA111	747	744	11	-61.68700	0.00000		737	47	-232.41306	0.00000	
126F-42	772	18BLA126	765	764	0	76.08101	18BLA112	756	755	1	97.73544	142.17925	***	747	20	0.01288	246.19860	***
126F-42	772	18BLA126	765	764	0	76.08101	18BLA111	747	746	6	-44.44381	0.00000		739	44	-246.18572	0.00000	
126F-43	713	18BLA126	765	706	14	-104.38927	18BLA112	756	696	11	-59.70075	4.69051	***	689	57	-207.45354	32.20722	***
126F-43	713	18BLA126	765	706	14	-104.38927	18BLA111	747	695	6	-64.39126	0.00000		689	56	-239.66076	0.00000	
126F-45	639	18BLA126	765	633	2	-9.45332	18BLA112	756	629	3	-23.03046	22.98848	***	623	42	-196.79058	18.57180	***
126F-45	639	18BLA126	765	633	2	-9.45332	18BLA111	747	626	6	-46.01894	0.00000		621	40	-215.36238	0.00000	
163F-12	737	18BLA163	758	726	0	91.18352	18BLA166	757	725	0	79.04199	139.21540	***	714	14	-41.25511	204.89981	***
163F-12	737	18BLA163	758	726	0	91.18352	18BLA168	768	732	9	-60.17341	0.00000		721	33	-246.15491	0.00000	
163F-13	731	18BLA163	758	717	0	84.73295	18BLA166	757	719	0	74.73649	109.09106	***	706	15	-35.15590	158.22657	***
163F-13	731	18BLA163	758	717	0	84.73295	18BLA168	768	727	7	-34.35457	0.00000		713	37	-193.38247	0.00000	
163F-16	764	18BLA163	758	750	0	73.07518	18BLA166	757	748	0	96.09050	180.08642	***	735	21	-8.23839	292.22350	***
163F-16	764	18BLA163	758	750	0	73.07518	18BLA168	768	759	14	-83.99592	0.00000		745	48	-300.46189	0.00000	
163F-40	684	18BLA163	758	675	2	62.44994	18BLA168	768	681	0	64.59903	93.84158	***	672	10	-36.94869	186.54775	***
163F-40	684	18BLA163	758	675	2	62.44994	18BLA166	757	672	7	-29.24255	0.00000		663	40	-223.49644	0.00000	
